연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,is_outlier_3-5세,is_outlier_6-8세,is_outlier_9-11세,cluster_3-5세,dist_3-5세,margin_3-5세,cluster_6-8세,dist_6-8세,margin_6-8세,cluster_9-11세,dist_9-11세,margin_9-11세
3-5세,180,390,2.0,1.0,0.5555555555555556,0.5029585798816568,4,5,0.0,,,2.0,0.9834220483386483,1.48700277516377,,,,,,
3-5세,180,240,2.5,1.0,0.5555555555555556,0.625,3,5,0.0,,,2.0,0.5044292962966316,1.4012156836190846,,,,,,
3-5세,190,310,3.75,1.5,0.5013850415512465,0.6378772112382934,4,5,0.0,,,2.0,1.2345711027430795,2.07555589556938,,,,,,
3-5세,30,30,0.5,0.25,1.0,1.0,6,9,0.0,,,1.0,1.2615115319994352,2.278213982667983,,,,,,
3-5세,120,150,2.5,0.5,0.5,0.6800000000000002,3,4,0.0,,,2.0,1.221262441438172,0.51961866616965,,,,,,
3-5세,180,240,3.0,0.5,0.3888888888888889,0.5,5,6,0.0,,,2.0,1.3967924358763963,0.6500144028935346,,,,,,
3-5세,240,150,2.5,1.0,0.34375,0.3600000000000001,4,5,0.0,,,2.0,1.09202299314953,1.0980840052870635,,,,,,
3-5세,60,0,1.25,0.0,1.0,0.0,3,5,0.0,,,1.0,2.0182115995687595,1.6004361563052365,,,,,,
3-5세,130,240,2.5,0.25,0.8579881656804735,1.0,3,3,0.0,,,1.0,1.651062153900766,0.559755122952887,,,,,,
3-5세,180,180,2.5,1.0,0.5555555555555556,0.5555555555555556,5,5,0.0,,,2.0,0.7853763232222348,0.98783791550794,,,,,,
3-5세,40,0,0.75,0.0,1.0,0.0,3,9,0.0,,,1.0,2.0602365232046753,1.7455995105556128,,,,,,
3-5세,85,150,0.75,0.75,0.6401384083044982,0.768888888888889,5,5,0.0,,,1.0,0.5920984257688925,1.5745084220633716,,,,,,
3-5세,300,480,2.0,1.0,0.44,0.59375,5,5,0.0,,,2.0,1.800413879156295,1.623698795521775,,,,,,
3-5세,300,480,2.75,1.25,0.44,0.40625,2,2,0.0,,,0.0,1.7310498919992403,1.9486672804989302,,,,,,
3-5세,50,50,1.75,1.0,0.6800000000000002,0.6800000000000002,6,6,0.0,,,2.0,1.1803848889776891,1.0043062944067456,,,,,,
3-5세,90,210,1.5,1.0,0.5555555555555556,0.5918367346938775,3,6,0.0,,,2.0,1.2367837583794379,0.10948267462609573,,,,,,
3-5세,60,60,1.25,0.5,1.0,1.0,4,4,0.0,,,1.0,0.8023934557688049,2.0319919769809176,,,,,,
3-5세,600,780,3.75,1.0,0.38,0.5266272189349113,3,4,1.0,,,0.0,1.0702848789442065,3.978763838585519,,,,,,
3-5세,70,300,2.0,1.5,0.510204081632653,0.3600000000000001,6,6,0.0,,,2.0,1.340978628787656,1.2087214008729248,,,,,,
3-5세,90,300,2.25,1.5,0.3333333333333333,0.3600000000000001,4,5,0.0,,,2.0,1.1881078113063779,1.475751238987417,,,,,,
